Num Qubits,Time,Step,Ops Index,Training Accuracy,Validation Accuracy
6,0.12,1,0,0.7610169491525424,0.6824324324324325
6,0.12,1,0,0.7440677966101695,0.7297297297297297
6,0.12,1,0,0.7542372881355932,0.7094594594594594
6,0.12,1,0,0.7681895093062606,0.6938775510204082
6,0.12,1,0,0.766497461928934,0.6870748299319728
6,0.12,1,1,0.7610169491525424,0.7094594594594594
6,0.12,1,1,0.7610169491525424,0.7635135135135135
6,0.12,1,1,0.764406779661017,0.7297297297297297
6,0.12,1,1,0.7766497461928934,0.7074829931972789
6,0.12,1,1,0.7597292724196277,0.7006802721088435
6,0.12,1,2,0.7491525423728813,0.7162162162162162
6,0.12,1,2,0.7694915254237288,0.7567567567567568
6,0.12,1,2,0.7661016949152543,0.7094594594594594
6,0.12,1,2,0.766497461928934,0.7006802721088435
6,0.12,1,2,0.7614213197969543,0.7006802721088435
6,0.12,5,0,0.7576271186440678,0.6621621621621622
6,0.12,5,0,0.7542372881355932,0.722972972972973
6,0.12,5,0,0.752542372881356,0.7027027027027027
6,0.12,5,0,0.7614213197969543,0.6870748299319728
6,0.12,5,0,0.7563451776649747,0.6938775510204082
6,0.12,5,1,0.7457627118644068,0.6959459459459459
6,0.12,5,1,0.7593220338983051,0.7635135135135135
6,0.12,5,1,0.7542372881355932,0.7027027027027027
6,0.12,5,1,0.7800338409475466,0.7006802721088435
6,0.12,5,1,0.7580372250423012,0.6870748299319728
6,0.12,5,2,0.7440677966101695,0.7432432432432432
6,0.12,5,2,0.7559322033898305,0.7297297297297297
6,0.12,5,2,0.747457627118644,0.6959459459459459
6,0.12,5,2,0.7631133671742809,0.7006802721088435
6,0.12,5,2,0.7563451776649747,0.7006802721088435
6,0.12,10,0,0.752542372881356,0.6621621621621622
6,0.12,10,0,0.7559322033898305,0.722972972972973
6,0.12,10,0,0.7559322033898305,0.7094594594594594
6,0.12,10,0,0.7580372250423012,0.6870748299319728
6,0.12,10,0,0.7580372250423012,0.6938775510204082
6,0.12,10,1,0.747457627118644,0.6959459459459459
6,0.12,10,1,0.7559322033898305,0.7567567567567568
6,0.12,10,1,0.7508474576271187,0.6959459459459459
6,0.12,10,1,0.7800338409475466,0.6938775510204082
6,0.12,10,1,0.7580372250423012,0.6870748299319728
6,0.12,10,2,0.7423728813559322,0.7432432432432432
6,0.12,10,2,0.7576271186440678,0.7297297297297297
6,0.12,10,2,0.7457627118644068,0.6959459459459459
6,0.12,10,2,0.766497461928934,0.7006802721088435
6,0.12,10,2,0.754653130287648,0.6938775510204082
6,0.12,20,0,0.7508474576271187,0.6621621621621622
6,0.12,20,0,0.7559322033898305,0.7162162162162162
6,0.12,20,0,0.752542372881356,0.7094594594594594
6,0.12,20,0,0.7563451776649747,0.6870748299319728
6,0.12,20,0,0.7580372250423012,0.7006802721088435
6,0.12,20,1,0.7457627118644068,0.6891891891891891
6,0.12,20,1,0.7542372881355932,0.7567567567567568
6,0.12,20,1,0.7508474576271187,0.6891891891891891
6,0.12,20,1,0.7783417935702199,0.6938775510204082
6,0.12,20,1,0.7580372250423012,0.6870748299319728
6,0.12,20,2,0.7440677966101695,0.75
6,0.12,20,2,0.7576271186440678,0.7297297297297297
6,0.12,20,2,0.7423728813559322,0.6959459459459459
6,0.12,20,2,0.766497461928934,0.7006802721088435
6,0.12,20,2,0.754653130287648,0.6938775510204082
6,0.15,1,0,0.8,0.6891891891891891
6,0.15,1,0,0.7932203389830509,0.7702702702702703
6,0.15,1,0,0.788135593220339,0.7162162162162162
6,0.15,1,0,0.7901861252115059,0.7142857142857143
6,0.15,1,0,0.7935702199661591,0.7142857142857143
6,0.15,1,1,0.7847457627118644,0.722972972972973
6,0.15,1,1,0.7830508474576271,0.7567567567567568
6,0.15,1,1,0.7864406779661017,0.75
6,0.15,1,1,0.7952622673434856,0.7074829931972789
6,0.15,1,1,0.7851099830795262,0.7142857142857143
6,0.15,1,2,0.7898305084745763,0.7297297297297297
6,0.15,1,2,0.7847457627118644,0.7635135135135135
6,0.15,1,2,0.7932203389830509,0.7162162162162162
6,0.15,1,2,0.7935702199661591,0.7142857142857143
6,0.15,1,2,0.7901861252115059,0.7142857142857143
6,0.15,5,0,0.7779661016949152,0.6824324324324325
6,0.15,5,0,0.7847457627118644,0.75
6,0.15,5,0,0.7677966101694915,0.7162162162162162
6,0.15,5,0,0.7749576988155669,0.7278911564625851
6,0.15,5,0,0.7800338409475466,0.7006802721088435
6,0.15,5,1,0.7847457627118644,0.7094594594594594
6,0.15,5,1,0.7813559322033898,0.7432432432432432
6,0.15,5,1,0.7694915254237288,0.7094594594594594
6,0.15,5,1,0.7935702199661591,0.7074829931972789
6,0.15,5,1,0.7749576988155669,0.6938775510204082
6,0.15,5,2,0.7847457627118644,0.722972972972973
6,0.15,5,2,0.7847457627118644,0.7635135135135135
6,0.15,5,2,0.7677966101694915,0.7297297297297297
6,0.15,5,2,0.7868020304568528,0.7074829931972789
6,0.15,5,2,0.7783417935702199,0.7006802721088435
6,0.15,10,0,0.7779661016949152,0.6824324324324325
6,0.15,10,0,0.7813559322033898,0.7297297297297297
6,0.15,10,0,0.7677966101694915,0.7162162162162162
6,0.15,10,0,0.7766497461928934,0.7278911564625851
6,0.15,10,0,0.7766497461928934,0.7006802721088435
6,0.15,10,1,0.788135593220339,0.7094594594594594
6,0.15,10,1,0.7779661016949152,0.7364864864864865
6,0.15,10,1,0.7711864406779662,0.7027027027027027
6,0.15,10,1,0.7952622673434856,0.7006802721088435
6,0.15,10,1,0.7766497461928934,0.6938775510204082
6,0.15,10,2,0.7864406779661017,0.7162162162162162
6,0.15,10,2,0.7830508474576271,0.7635135135135135
6,0.15,10,2,0.7661016949152543,0.7297297297297297
6,0.15,10,2,0.7918781725888325,0.7142857142857143
6,0.15,10,2,0.7766497461928934,0.7006802721088435
6,0.15,20,0,0.7779661016949152,0.6756756756756757
6,0.15,20,0,0.7813559322033898,0.722972972972973
6,0.15,20,0,0.7677966101694915,0.7162162162162162
6,0.15,20,0,0.7800338409475466,0.7346938775510204
6,0.15,20,0,0.7749576988155669,0.7006802721088435
6,0.15,20,1,0.7864406779661017,0.7027027027027027
6,0.15,20,1,0.7779661016949152,0.7297297297297297
6,0.15,20,1,0.7677966101694915,0.6959459459459459
6,0.15,20,1,0.7935702199661591,0.7074829931972789
6,0.15,20,1,0.7732656514382402,0.6938775510204082
6,0.15,20,2,0.7864406779661017,0.722972972972973
6,0.15,20,2,0.7813559322033898,0.7702702702702703
6,0.15,20,2,0.7627118644067796,0.7364864864864865
6,0.15,20,2,0.7918781725888325,0.7142857142857143
6,0.15,20,2,0.7783417935702199,0.7006802721088435
6,0.17,1,0,0.823728813559322,0.6959459459459459
6,0.17,1,0,0.8152542372881356,0.7702702702702703
6,0.17,1,0,0.8101694915254237,0.7364864864864865
6,0.17,1,0,0.8037225042301185,0.7414965986394558
6,0.17,1,0,0.8104906937394247,0.7142857142857143
6,0.17,1,1,0.8016949152542373,0.722972972972973
6,0.17,1,1,0.8067796610169492,0.7567567567567568
6,0.17,1,1,0.8101694915254237,0.7364864864864865
6,0.17,1,1,0.8138747884940778,0.7210884353741497
6,0.17,1,1,0.8087986463620981,0.7346938775510204
6,0.17,1,2,0.7983050847457627,0.722972972972973
6,0.17,1,2,0.8135593220338984,0.75
6,0.17,1,2,0.8067796610169492,0.6959459459459459
6,0.17,1,2,0.8087986463620981,0.7074829931972789
6,0.17,1,2,0.8071065989847716,0.7142857142857143
6,0.17,5,0,0.7949152542372881,0.6959459459459459
6,0.17,5,0,0.8050847457627118,0.7432432432432432
6,0.17,5,0,0.7949152542372881,0.7162162162162162
6,0.17,5,0,0.7901861252115059,0.7278911564625851
6,0.17,5,0,0.7800338409475466,0.7142857142857143
6,0.17,5,1,0.7864406779661017,0.7094594594594594
6,0.17,5,1,0.8050847457627118,0.777027027027027
6,0.17,5,1,0.788135593220339,0.7364864864864865
6,0.17,5,1,0.8071065989847716,0.7210884353741497
6,0.17,5,1,0.7884940778341794,0.7210884353741497
