Num Qubits,Time,Step,Ops Index,Training Accuracy,Validation Accuracy
6,0.1,1,0,0.958981612446959,0.9661016949152542
6,0.1,1,0,0.9603960396039604,0.9322033898305084
6,0.1,1,0,0.9618104667609618,0.9491525423728814
6,0.1,1,0,0.9561527581329562,0.96045197740113
6,0.1,1,0,0.9675141242937854,0.9261363636363636
6,0.1,1,1,0.9504950495049505,0.9717514124293786
6,0.1,1,1,0.958981612446959,0.9152542372881356
6,0.1,1,1,0.9575671852899575,0.9491525423728814
6,0.1,1,1,0.9504950495049505,0.96045197740113
6,0.1,1,1,0.9661016949152542,0.9147727272727273
6,0.1,1,2,0.9533239038189534,0.9661016949152542
6,0.1,1,2,0.9632248939179632,0.9322033898305084
6,0.1,1,2,0.9561527581329562,0.9661016949152542
6,0.1,1,2,0.9519094766619519,0.9491525423728814
6,0.1,1,2,0.9675141242937854,0.9375
6,0.1,5,0,0.9547383309759547,0.9661016949152542
6,0.1,5,0,0.9632248939179632,0.9265536723163842
6,0.1,5,0,0.9618104667609618,0.9378531073446328
6,0.1,5,0,0.958981612446959,0.9661016949152542
6,0.1,5,0,0.961864406779661,0.9261363636363636
6,0.1,5,1,0.9533239038189534,0.9661016949152542
6,0.1,5,1,0.9603960396039604,0.9265536723163842
6,0.1,5,1,0.9603960396039604,0.9491525423728814
6,0.1,5,1,0.9575671852899575,0.9717514124293786
6,0.1,5,1,0.9646892655367232,0.9261363636363636
6,0.1,5,2,0.9504950495049505,0.9548022598870056
6,0.1,5,2,0.9632248939179632,0.9378531073446328
6,0.1,5,2,0.958981612446959,0.9491525423728814
6,0.1,5,2,0.9547383309759547,0.96045197740113
6,0.1,5,2,0.9661016949152542,0.9318181818181818
6,0.1,10,0,0.9547383309759547,0.9717514124293786
6,0.1,10,0,0.9646393210749646,0.9322033898305084
6,0.1,10,0,0.9603960396039604,0.9378531073446328
6,0.1,10,0,0.958981612446959,0.9661016949152542
6,0.1,10,0,0.96045197740113,0.9261363636363636
6,0.1,10,1,0.9547383309759547,0.9661016949152542
6,0.1,10,1,0.9603960396039604,0.9265536723163842
6,0.1,10,1,0.9603960396039604,0.9491525423728814
6,0.1,10,1,0.9575671852899575,0.9717514124293786
6,0.1,10,1,0.9646892655367232,0.9261363636363636
6,0.1,10,2,0.9504950495049505,0.96045197740113
6,0.1,10,2,0.9632248939179632,0.9378531073446328
6,0.1,10,2,0.958981612446959,0.943502824858757
6,0.1,10,2,0.9533239038189534,0.96045197740113
6,0.1,10,2,0.9661016949152542,0.9318181818181818
6,0.1,20,0,0.9547383309759547,0.9717514124293786
6,0.1,20,0,0.9646393210749646,0.9322033898305084
6,0.1,20,0,0.9603960396039604,0.9378531073446328
6,0.1,20,0,0.9575671852899575,0.9661016949152542
6,0.1,20,0,0.96045197740113,0.9261363636363636
6,0.1,20,1,0.9547383309759547,0.9661016949152542
6,0.1,20,1,0.9618104667609618,0.9265536723163842
6,0.1,20,1,0.9603960396039604,0.9491525423728814
6,0.1,20,1,0.9575671852899575,0.9717514124293786
6,0.1,20,1,0.9646892655367232,0.9261363636363636
6,0.1,20,2,0.9504950495049505,0.96045197740113
6,0.1,20,2,0.9632248939179632,0.9378531073446328
6,0.1,20,2,0.958981612446959,0.943502824858757
6,0.1,20,2,0.9533239038189534,0.96045197740113
6,0.1,20,2,0.9661016949152542,0.9261363636363636
6,0.3,1,0,0.9915134370579916,0.9378531073446328
6,0.3,1,0,0.9872701555869873,0.9209039548022598
6,0.3,1,0,0.9886845827439887,0.9265536723163842
6,0.3,1,0,0.9915134370579916,0.943502824858757
6,0.3,1,0,0.9957627118644068,0.9261363636363636
6,0.3,1,1,0.9929278642149929,0.9265536723163842
6,0.3,1,1,0.9929278642149929,0.9096045197740112
6,0.3,1,1,0.9915134370579916,0.9209039548022598
6,0.3,1,1,0.9915134370579916,0.9378531073446328
6,0.3,1,1,0.998587570621469,0.9090909090909091
6,0.3,1,2,0.9929278642149929,0.96045197740113
6,0.3,1,2,0.9915134370579916,0.9209039548022598
6,0.3,1,2,0.9872701555869873,0.9491525423728814
6,0.3,1,2,0.9886845827439887,0.9491525423728814
6,0.3,1,2,0.9929378531073446,0.9034090909090909
6,0.3,5,0,0.9943422913719944,0.9661016949152542
6,0.3,5,0,0.9915134370579916,0.9265536723163842
6,0.3,5,0,0.9886845827439887,0.943502824858757
6,0.3,5,0,0.9929278642149929,0.9491525423728814
6,0.3,5,0,1.0,0.9034090909090909
6,0.3,5,1,0.9900990099009901,0.9717514124293786
6,0.3,5,1,0.9886845827439887,0.9209039548022598
6,0.3,5,1,0.9886845827439887,0.96045197740113
6,0.3,5,1,0.9886845827439887,0.9548022598870056
6,0.3,5,1,0.9929378531073446,0.9147727272727273
6,0.3,5,2,0.9886845827439887,0.9717514124293786
6,0.3,5,2,0.9872701555869873,0.9322033898305084
6,0.3,5,2,0.9858557284299858,0.96045197740113
6,0.3,5,2,0.9816124469589816,0.9548022598870056
6,0.3,5,2,0.9943502824858758,0.9261363636363636
6,0.3,10,0,0.9957567185289957,0.96045197740113
6,0.3,10,0,0.9929278642149929,0.9209039548022598
6,0.3,10,0,0.9915134370579916,0.9322033898305084
6,0.3,10,0,0.9929278642149929,0.9491525423728814
6,0.3,10,0,0.998587570621469,0.9147727272727273
6,0.3,10,1,0.9886845827439887,0.9717514124293786
6,0.3,10,1,0.9886845827439887,0.9152542372881356
6,0.3,10,1,0.9886845827439887,0.9661016949152542
6,0.3,10,1,0.9872701555869873,0.9548022598870056
6,0.3,10,1,0.9929378531073446,0.9147727272727273
6,0.3,10,2,0.9886845827439887,0.9717514124293786
6,0.3,10,2,0.9872701555869873,0.9322033898305084
6,0.3,10,2,0.9844413012729845,0.96045197740113
6,0.3,10,2,0.983026874115983,0.9548022598870056
6,0.3,10,2,0.9943502824858758,0.9318181818181818
6,0.3,20,0,0.9943422913719944,0.96045197740113
6,0.3,20,0,0.9929278642149929,0.9265536723163842
6,0.3,20,0,0.9900990099009901,0.9378531073446328
6,0.3,20,0,0.9929278642149929,0.9491525423728814
6,0.3,20,0,0.998587570621469,0.9204545454545454
6,0.3,20,1,0.9872701555869873,0.9717514124293786
6,0.3,20,1,0.9900990099009901,0.9209039548022598
6,0.3,20,1,0.9872701555869873,0.9661016949152542
6,0.3,20,1,0.9858557284299858,0.96045197740113
6,0.3,20,1,0.9929378531073446,0.9204545454545454
6,0.3,20,2,0.9886845827439887,0.9717514124293786
6,0.3,20,2,0.9872701555869873,0.9322033898305084
6,0.3,20,2,0.9844413012729845,0.96045197740113
6,0.3,20,2,0.983026874115983,0.96045197740113
6,0.3,20,2,0.9929378531073446,0.9318181818181818
6,0.5,1,0,0.9957567185289957,0.847457627118644
6,0.5,1,0,0.9971711456859972,0.7966101694915254
6,0.5,1,0,0.9971711456859972,0.8418079096045198
6,0.5,1,0,0.9943422913719944,0.7853107344632768
6,0.5,1,0,1.0,0.8068181818181818
6,0.5,1,1,0.9971711456859972,0.8248587570621468
6,0.5,1,1,0.9971711456859972,0.7401129943502824
6,0.5,1,1,0.9985855728429985,0.8418079096045198
6,0.5,1,1,0.9971711456859972,0.768361581920904
6,0.5,1,1,0.9971751412429378,0.8125
6,0.5,1,2,0.9971711456859972,0.8248587570621468
6,0.5,1,2,0.9929278642149929,0.807909604519774
6,0.5,1,2,0.9943422913719944,0.8700564971751412
6,0.5,1,2,0.9943422913719944,0.7909604519774012
6,0.5,1,2,0.9957627118644068,0.8011363636363636
6,0.5,5,0,0.9985855728429985,0.9378531073446328
6,0.5,5,0,0.9971711456859972,0.8587570621468926
