Num Qubits,Time,Step,Ops Index,Average_Train_Accuracy,Average_Val_Accuracy,Test_Accuracy
6,0.15,10,0,0.7714350685461993,0.7181932924630364,0.7415384615384616
6,0.15,10,1,0.78947344721301,0.7232816444284168,0.7415384615384616
6,0.15,10,2,0.7803470876026954,0.7317345834835918,0.76
6,0.15,10,3,0.7826820937829982,0.7258240173097728,0.7569230769230769
6,0.15,10,4,0.7765290339139892,0.7249657410746484,0.7384615384615385
6,0.15,10,5,0.7767411229914016,0.7207176343310493,0.7446153846153846
6,0.15,10,6,0.7824697795579452,0.736851785070321,0.7507692307692307
6,0.15,10,7,0.7833201621963604,0.7343021997836279,0.7476923076923077
6,0.15,10,8,0.778438736201264,0.7292246664262532,0.7538461538461538
6,0.15,10,9,0.7843803824357823,0.7300613054453661,0.7476923076923077
6,0.15,10,10,0.7797112706657391,0.7377100613054454,0.7384615384615385
6,0.15,10,11,0.7797119461086608,0.7317490082942661,0.7446153846153846
6,0.15,10,12,0.7888369548331319,0.7266678687342228,0.7569230769230769
6,0.15,10,13,0.7822592665140166,0.7376920302921024,0.7569230769230769
6,0.15,10,14,0.7856540426384602,0.733465560764515,0.7476923076923077
6,0.15,10,15,0.776316269393655,0.7156220699603317,0.7415384615384616
6,0.15,10,16,0.7756788764232145,0.7241435268662099,0.7415384615384616
6,0.15,10,17,0.7782252962380081,0.7300685178507031,0.7446153846153846
6,0.15,10,18,0.7807701400193177,0.7275117201586729,0.7476923076923077
6,0.15,10,19,0.7803493390791012,0.7258204111071043,0.7507692307692307
6,0.15,10,20,0.7828946331556919,0.7326181031373963,0.7538461538461538
6,0.15,10,21,0.7752535725301867,0.7181860800576992,0.7384615384615385
6,0.15,10,22,0.7814102347614449,0.730905156869816,0.7476923076923077
6,0.15,10,23,0.7735559593203243,0.7232924630364226,0.7415384615384616
6,0.15,10,24,0.7856544929337413,0.7275153263613415,0.7476923076923077
6,0.15,10,25,0.7797119461086608,0.7394085827623512,0.7446153846153846
6,0.15,10,26,0.7801343230823613,0.7283772087991345,0.7415384615384616
6,0.15,10,27,0.7799240351860732,0.7275153263613415,0.7415384615384616
6,0.15,10,28,0.7820444756649173,0.7266606563288857,0.7415384615384616
6,0.15,10,29,0.7780134323082362,0.7283591777857915,0.7384615384615385
